Frame,Left Shoulder_x,Left Shoulder_y,Left hip_x,Left hip_y,Left Knee_x,Left Knee_y,Left foot_x,Left foot_y
0,1794.0625,300.6875,1802.5625,562.0625,1832.3125,749.0625,1870.5625,776.6875
1,1770.6875,296.4375,1764.3125,549.3125,1772.8125,738.4375,-1.0,-1.0
2,1747.3125,292.1875,1747.3125,536.5625,1736.6875,744.8125,-1.0,-1.0
3,1723.9375,287.9375,1726.0625,530.1875,1675.0625,723.5625,-1.0,-1.0
4,1702.6875,287.9375,1700.5625,511.0625,1621.9375,712.9375,-1.0,-1.0
5,1702.6875,287.9375,1700.5625,511.0625,1621.9375,712.9375,-1.0,-1.0
6,1681.4375,287.9375,1668.6875,515.3125,1587.9375,706.5625,1700.5625,902.0625
7,1658.0625,290.0625,1649.5625,521.6875,1553.9375,702.3125,1643.1875,904.1875
8,1634.6875,294.3125,1628.3125,530.1875,1534.8125,708.6875,1551.8125,904.1875
9,1611.3125,298.5625,1607.0625,532.3125,1515.6875,710.8125,1485.9375,919.0625
10,1587.9375,304.9375,1587.9375,545.0625,1496.5625,712.9375,1439.1875,919.0625
11,1587.9375,304.9375,1587.9375,545.0625,1496.5625,712.9375,1439.1875,919.0625
12,1564.5625,311.3125,1558.1875,549.3125,1464.6875,721.4375,1411.5625,927.5625
13,1536.9375,313.4375,1526.3125,555.6875,1441.3125,721.4375,1403.0625,931.8125
14,1511.4375,311.3125,1500.8125,557.8125,1417.9375,715.0625,1400.9375,931.8125
15,1483.8125,307.0625,1473.1875,553.5625,1398.8125,715.0625,1396.6875,933.9375
16,1458.3125,302.8125,1445.5625,551.4375,1386.0625,721.4375,1398.8125,936.0625
17,1458.3125,302.8125,1445.5625,551.4375,1386.0625,721.4375,1398.8125,936.0625
18,1434.9375,296.4375,1426.4375,545.0625,1377.5625,719.3125,1396.6875,936.0625
19,1409.4375,292.1875,1413.6875,534.4375,1369.0625,721.4375,1396.6875,936.0625
20,1386.0625,290.0625,1400.9375,525.9375,1364.8125,725.6875,1398.8125,933.9375
21,1362.6875,287.9375,1379.6875,528.0625,1362.6875,727.8125,1396.6875,933.9375
22,1339.3125,287.9375,1352.0625,530.1875,1358.4375,729.9375,1394.5625,931.8125
23,1339.3125,287.9375,1352.0625,530.1875,1358.4375,727.8125,1396.6875,931.8125
24,1315.9375,290.0625,1332.9375,523.8125,1349.9375,727.8125,1394.5625,929.6875
25,1292.5625,294.3125,1313.8125,536.5625,1339.3125,740.5625,1394.5625,927.5625
26,1269.1875,302.8125,1288.3125,549.3125,1330.8125,753.3125,1392.4375,927.5625
27,1245.8125,307.0625,1264.9375,545.0625,1315.9375,761.8125,1390.3125,923.3125
28,1218.1875,309.1875,1233.0625,547.1875,1286.1875,751.1875,1386.0625,914.8125
29,1218.1875,309.1875,1233.0625,545.0625,1286.1875,749.0625,1388.1875,914.8125
30,1192.6875,309.1875,1209.6875,545.0625,1241.5625,744.8125,-1.0,-1.0
31,1162.9375,304.9375,1173.5625,534.4375,1188.4375,742.6875,1352.0625,889.3125
32,1141.6875,298.5625,1141.6875,536.5625,1128.9375,740.5625,-1.0,-1.0
33,1120.4375,292.1875,1128.9375,530.1875,1082.1875,729.9375,-1.0,-1.0
34,1092.8125,290.0625,1103.4375,528.0625,1037.5625,719.3125,-1.0,-1.0
35,1092.8125,290.0625,1103.4375,528.0625,1037.5625,719.3125,-1.0,-1.0
36,1077.9375,290.0625,1073.6875,528.0625,995.0625,708.6875,1124.6875,874.4375
37,1054.5625,287.9375,1039.6875,525.9375,950.052,708.6875,1052.4375,897.8125
38,1033.3125,287.9375,1012.0625,536.5625,929.1875,704.4375,978.0625,891.4375
39,1007.8125,294.3125,992.9375,540.8125,912.1875,708.6875,901.5625,919.0625
40,980.1875,298.5625,971.6875,549.3125,893.0625,717.1875,842.0625,919.0625
41,980.1875,298.5625,971.6875,549.3125,893.0625,717.1875,842.0625,919.0625
42,954.6875,304.9375,948.3125,553.5625,871.8125,723.5625,801.6875,921.1875
43,931.3125,304.9375,922.8125,559.9375,844.1875,719.3125,784.6875,929.6875
44,903.6875,307.0625,884.5625,559.9375,818.6875,734.1875,778.3125,933.9375
45,876.0625,304.9375,859.0625,562.0625,791.0625,708.6875,771.9375,936.0625
46,848.4375,300.6875,842.0625,551.4375,769.8125,721.4375,769.8125,936.0625
47,848.4375,300.6875,842.0625,549.3125,769.8125,721.4375,769.8125,936.0625
48,825.0625,296.4375,827.1875,547.1875,757.0625,719.3125,769.8125,938.1875
49,793.1875,287.9375,805.9375,532.3125,752.8125,727.8125,769.8125,936.0625
50,769.8125,281.5625,782.5625,521.6875,744.3125,723.5625,769.8125,938.1875
51,744.3125,279.4375,771.9375,517.4375,737.9375,736.3125,769.8125,938.1875
52,723.0625,277.3125,744.3125,515.3125,735.8125,732.0625,769.8125,933.9375
53,723.0625,277.3125,744.3125,515.3125,735.8125,732.0625,769.8125,933.9375
54,699.6875,281.5625,714.5625,521.6875,727.3125,723.5625,767.6875,933.9375
55,674.1875,285.8125,691.1875,523.8125,606.1875,708.6875,610.4375,906.3125
56,650.8125,292.1875,667.8125,532.3125,584.9375,719.3125,548.8125,910.5625
57,629.5625,296.4375,642.3125,540.8125,563.6875,732.0625,493.5625,912.6875
58,604.0625,300.6875,614.6875,542.9375,538.1875,729.9375,470.1875,919.0625
59,604.0625,300.6875,616.8125,542.9375,538.1875,729.9375,470.1875,919.0625
60,574.3125,300.6875,587.0625,555.6875,510.5625,725.6875,461.6875,927.5625
61,544.5625,298.5625,553.0625,551.4375,489.3125,717.1875,455.3125,927.5625
62,519.0625,294.3125,538.1875,530.1875,553.0625,742.6875,-1.0,-1.0
63,495.6875,292.1875,504.1875,534.4375,491.4375,727.8125,-1.0,-1.0
64,472.3125,292.1875,480.8125,525.9375,444.6875,734.1875,616.8125,861.6875
65,472.3125,292.1875,480.8125,525.9375,444.6875,734.1875,614.6875,859.5625
66,455.3125,287.9375,446.8125,530.1875,393.6875,725.6875,-1.0,-1.0
67,431.9375,287.9375,429.8125,519.5625,349.0625,704.4375,474.4375,859.5625
68,406.4375,287.9375,406.4375,525.9375,300.0625,704.4375,431.9375,919.0625
69,383.0625,290.0625,378.8125,517.4375,278.9375,704.4375,334.1875,908.4375
70,353.3125,292.1875,357.5625,515.3125,259.8125,708.6875,259.8125,923.3125
71,353.3125,292.1875,357.5625,515.3125,259.8125,710.8125,259.8125,923.3125
72,325.6875,294.3125,321.4375,528.0625,242.8125,704.4375,185.4375,927.5625
73,295.9375,298.5625,308.6875,521.6875,213.0625,727.8125,138.6875,927.5625
74,266.1875,298.5625,278.9375,530.1875,191.8125,717.1875,119.5625,931.8125
75,238.5625,300.6875,244.9375,528.0625,159.9375,734.1875,113.1875,938.1875
76,213.0625,298.5625,217.3125,528.0625,134.4375,738.4375,106.8125,938.1875
77,213.0625,298.5625,217.3125,528.0625,134.4375,738.4375,106.8125,938.1875
78,185.4375,294.3125,185.4375,536.5625,113.1875,738.4375,104.6875,938.1875
79,155.6875,292.1875,159.9375,534.4375,98.3125,738.4375,104.6875,938.1875
80,132.3125,285.8125,138.6875,532.3125,89.8125,738.4375,102.5625,940.3125
81,108.9375,283.6875,117.4375,532.3125,83.4375,736.3125,102.5625,940.3125
82,83.4375,279.4375,94.0625,523.8125,72.8125,719.3125,102.5625,936.0625
83,83.4375,279.4375,96.1875,523.8125,72.8125,719.3125,102.5625,936.0625
84,55.8125,277.3125,83.4375,521.6875,-33.4375,670.4375,102.5625,938.1875
85,32.4375,283.6875,49.4375,528.0625,-12.1875,732.0625,104.6875,938.1875
86,9.0625,290.0625,19.6875,521.6875,57.9375,740.5625,104.6875,936.0625
87,-1.5625,298.5625,-12.1875,538.6875,43.0625,740.5625,102.5625,936.0625
88,-7.9375,298.5625,-41.9375,538.6875,30.3125,744.8125,102.5625,933.9375
89,-7.9375,296.4375,-39.8125,545.0625,30.3125,744.8125,102.5625,933.9375
